Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
Postgraduate,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Somewhat confident,Will be equal,It decreases,As risky,Not sure,Not sure,To guarantee higher overall returns,Exactly 10% interest,Slightly,Somewhat confident,Portfolio analytics,No,Often,Social media trends,Strongly agree,Neutral,Agree
3rd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Not confident,Compound interest/growth,It decreases,Not sure,Not sure,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Market news,Yes,Rarely,Social media trends,Strongly agree,Likely,Disagree
3rd year,Engineering/ Science,Yes,Over 2 years,Trading app,Very confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,No,Confident,Portfolio analytics,Yes,Often,Data and analytics,Strongly disagree,Likely,Agree
Postgraduate,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Market news,No,Sometimes,Personal decisions,Agree,Very likely,Strongly agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It increases,Less risky,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Rarely,Data and analytics,Neutral,Very likely,Agree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Market news,No,Often,Personal decisions,Strongly disagree,Likely,Agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To guarantee higher overall returns,Not sure,N/A - Not an investor,Confident,Portfolio analytics,Yes,Sometimes,Personal decisions,Strongly agree,Neutral,Agree
Postgraduate,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Will be equal,Not sure,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Stock performance charts,No,Sometimes,Social media trends,Agree,Very likely,Agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,Yes,Often,Advice from others,Strongly agree,Very unlikely,Neutral
2nd year,Other,Yes,1-2 years,Robo-advisor,Very confident,Capital (Your Investment),It increases,Not sure,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Portfolio analytics,Yes,Sometimes,Personal decisions,Strongly disagree,Neutral,Strongly agree
2nd year,Business / Economics,Yes,1-2 years,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,Not sure,Exactly 10% interest,Moderately,Very confident,Stock performance charts,No,Always,Data and analytics,Disagree,Likely,Strongly agree
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 0% interest,Slightly,Somewhat confident,Portfolio analytics,No,Never,Advice from others,Agree,Very unlikely,Neutral
2nd year,Business / Economics,Yes,6-12 months,Trading app,Not confident,Will be equal,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Moderately,Confident,Portfolio analytics,No,Rarely,Personal decisions,Agree,Neutral,Strongly agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,AI or data insights,Yes,Sometimes,Data and analytics,Neutral,Neutral,Neutral
1st year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Somewhat confident,Capital (Your Investment),It stays the same,Less risky,Higher risk generally leads to lower potential reward,Not sure,To minimize fees and expenses,Exactly 0% interest,Slightly,Somewhat confident,Portfolio analytics,No,Rarely,Data and analytics,Neutral,Unlikely,Strongly disagree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,Yes,Sometimes,Social media trends,Strongly agree,Neutral,Disagree
1st year,Other,Yes,6-12 months,Other,Confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,Not sure,Exactly 0% interest,No,Somewhat confident,Stock performance charts,Not sure,Rarely,Advice from others,Agree,Neutral,Strongly agree
Postgraduate,Humanities / Arts,Yes,6-12 months,Robo-advisor,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,Not sure,To guarantee higher overall returns,Not sure,Slightly,Somewhat confident,Portfolio analytics,No,Sometimes,Social media trends,Strongly agree,Very likely,Neutral
1st year,Other,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Often,Personal decisions,Neutral,Very likely,Agree
2nd year,Engineering/ Science,Yes,6-12 months,Trading app,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Somewhat confident,Stock performance charts,Not sure,Rarely,Personal decisions,Agree,Neutral,Neutral
1st year,Business / Economics,Yes,1-2 years,Robo-advisor,Not confident,Capital (Your Investment),Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,Other,No,Rarely,Data and analytics,Neutral,Neutral,Neutral
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Will be equal,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Market news,Yes,Sometimes,Personal decisions,Agree,Very unlikely,Disagree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,Not sure,Exactly 10% interest,Moderately,Not confident,Market news,Yes,Rarely,Data and analytics,Neutral,Very likely,Agree
1st year,Engineering/ Science,Yes,1-2 years,Trading app,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Moderately,Somewhat confident,Portfolio analytics,Yes,Always,Personal decisions,Neutral,Very unlikely,Strongly disagree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It stays the same,Less risky,Higher risk generally leads to higher potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Very confident,AI or data insights,Yes,Always,Personal decisions,Disagree,Likely,Strongly disagree
3rd year,Business / Economics,Yes,1-2 years,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Market news,Yes,Always,Data and analytics,Disagree,Likely,Strongly agree
3rd year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Confident,Will be equal,It decreases,Not sure,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Not sure,Slightly,Somewhat confident,Market news,Yes,Sometimes,Data and analytics,Agree,Unlikely,Agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Never,Personal decisions,Strongly agree,Unlikely,Disagree
1st year,Engineering/ Science,Yes,Over 2 years,Other,Confident,Not Sure,Not sure,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Somewhat confident,Other,No,Rarely,Social media trends,Disagree,Likely,Neutral
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to lower potential reward,£100 today,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Not confident,Market news,Yes,Sometimes,Social media trends,Strongly agree,Neutral,Strongly agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Not sure,N/A - Not an investor,Very confident,Stock performance charts,Not sure,Sometimes,Data and analytics,Disagree,Very unlikely,Agree
3rd year,Engineering/ Science,Yes,6-12 months,Trading app,Somewhat confident,Not Sure,Not sure,More risky than investing in a diversified fund,Not sure,Not sure,To minimize fees and expenses,Exactly 0% interest,Slightly,Somewhat confident,Portfolio analytics,No,Sometimes,Social media trends,Agree,Unlikely,Agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It decreases,Less risky,Higher risk generally leads to higher potential reward,£100 today,Not sure,Less than 10% interest,N/A - Not an investor,Very confident,Stock performance charts,Yes,Never,Social media trends,Agree,Very unlikely,Agree
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Not confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Market news,Yes,Sometimes,Data and analytics,Strongly agree,Very likely,Agree
